Year,Month,Day,MJD,OAM_ms
1978,11,26,43838,-0.08612628
1978,11,27,43839,-0.04651285
1978,11,28,43840,-0.01512322
1978,11,29,43841,-0.02183836
1978,11,30,43842,-0.03817593
1978,12,1,43843,-0.04071072
1978,12,2,43844,-0.03966309
1978,12,3,43845,-0.07683802
1978,12,4,43846,-0.02999093
1978,12,5,43847,-0.06740487
1978,12,6,43848,-0.07147821
1978,12,7,43849,-0.08477596
1978,12,8,43850,-0.09021445
1978,12,9,43851,-0.07877688
1978,12,10,43852,-0.04900223
1978,12,11,43853,-0.00916734
1978,12,12,43854,-0.01940481
1978,12,13,43855,-0.04152555
1978,12,14,43856,-0.00204487
1978,12,15,43857,-0.00856267
1978,12,16,43858,-0.00397853
1978,12,17,43859,-0.04475435
1978,12,18,43860,-0.03218421
1978,12,19,43861,-0.03323639
1978,12,20,43862,-0.05925213
1978,12,21,43863,-0.04812755
1978,12,22,43864,-0.04951518
1978,12,23,43865,-0.05469659
1978,12,24,43866,-0.04908864
1978,12,25,43867,-0.02614815
1978,12,26,43868,-0.01536388
1978,12,27,43869,-0.03616271
1978,12,28,43870,-0.04599014
1978,12,29,43871,-0.01543762
1978,12,30,43872,0.01425407
1978,12,31,43873,-0.00420862
1979,1,1,43874,0.02094466
1979,1,2,43875,0.01867834
1979,1,3,43876,0.02895392
1979,1,4,43877,0.01572130
1979,1,5,43878,0.02794850
1979,1,6,43879,-0.01133797
1979,1,7,43880,-0.00645437
1979,1,8,43881,-0.00955951
1979,1,9,43882,-0.01218197
1979,1,10,43883,0.00086138
1979,1,11,43884,0.00380621
1979,1,12,43885,0.00251069
1979,1,13,43886,0.01234743
1979,1,14,43887,0.00110905
1979,1,15,43888,-0.00690041
1979,1,16,43889,-0.05980188
1979,1,17,43890,-0.01000666
1979,1,18,43891,-0.01679738
1979,1,19,43892,-0.03470746
1979,1,20,43893,-0.02994391
1979,1,21,43894,-0.04770110
1979,1,22,43895,-0.01005613
1979,1,23,43896,0.00334137
1979,1,24,43897,-0.01317726
1979,1,25,43898,0.00339585
1979,1,26,43899,0.00975392
1979,1,27,43900,-0.00954035
1979,1,28,43901,-0.04081356
1979,1,29,43902,-0.00723392
1979,1,30,43903,-0.00667504
1979,1,31,43904,-0.00174830
1979,2,1,43905,0.01762678
1979,2,2,43906,-0.01781477
1979,2,3,43907,-0.01257829
1979,2,4,43908,-0.00964076
1979,2,5,43909,-0.01973932
1979,2,6,43910,-0.03832307
1979,2,7,43911,-0.04255512
1979,2,8,43912,-0.00659953
1979,2,9,43913,-0.02405340
